Scientific Name,Common Name,Plant Type,URL,Soil PH,Sun/Shade Conditions,Image,Summary,Soil Moisture
Coreopsis auriculata,Lobed Tickseed,perennial ,https://mtcubacenter.org/plants/lobed-tickseed/,"acidic, adaptable ","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Coreopsis_auriculata_1.jpg,"Coreopsis auriculata is an easily grown stoloniferous perennial with 1-2”, golden-yellow, daisy-like flowers. Its handsome dark green foliage is evergreen, low growing, and each leaf is lobed at the base. Lobed tick seed grows best in consistently moist, acid to neutral soil and is intolerant of drought. Its compact habit and tendency to spread, but not aggressively, makes it a good groundcover choice. Plant Coreopsis auriculata in a lightly shaded woodland location or at the front of a shady border. The following plants make suitable companions: Cardamine diphylla, Silene virginica, Solidago caesia, Geranium maculatum, Chamaelirium luteum, Polystichum acrostichoides, and Allium tricoccum.","average, moist "
Penstemon calycosus,Long-Sepal Beardtongue,perennial ,https://mtcubacenter.org/plants/long-sepal-beardtongue/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Penstemon_calycosus_1.jpg,"This herbaceous perennial is deserving of greater use in the garden because of its cultural adaptability. Long-sepal beardtongue tolerates a variety of conditions from filterd shade to full sun and moist and well-drained to dry soils. Flowers are produced in terminal panicles and each individual flower is 1” long, snapdragon-like and ranges in color from light violet to purple. Plants can grow 1-3’ tall and roughly 2’ wide. The foliage is lance-shaped, semi-glossy, medium green and has finely saw-toothed edges. Use with Spigelia marilandica to extend the season of bloom or use with Heuchera americana ‘Dale’s Strain’ and Amsonia ciliata for a pleasing foliar combination.","average, dry, moist "
Vaccinium angustifolium,Lowbush Blueberry,shrub ,https://mtcubacenter.org/plants/lowbush-blueberry/,acidic ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Vaccinium_angustifolium_MCC_1.jpg,"Lowbush blueberry is an excellent choice as a deciduous woody groundcover in the garden. It produces dainty flowers that are urn-shaped, white and sometimes tinged with pink. It thrives in a moist, highly organic, well drained, acidic soil in full sun to filtered shade. Best flowering and fruiting occurs when several plants are grown together in the garden. Fruit ripens from late July to late September. When grown in ideal conditions, lowbush blueberry will form extensive, dense colonies that will reward you with edible berries. Use lowbush blueberry in a rock garden or woodland setting with Epigea repens, Kalmia latifolia, Gaultheria procumbens, Polystichum acrostichoides, and Dryopteris intermedia.","average, dry, moist "
Viburnum acerifolium,Maple-Leaved Viburnum,shrub ,https://mtcubacenter.org/plants/maple-leaved-viburnum/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Viburnum_acerifolium_1.jpg,"A subtle beauty in the spring garden, maple-leaved viburnum develops creamy-white, lacey blooms that provide a valuable nectar source for pollinators.  Viburnum acerifolium is an adaptable, upright to spreading deciduous shrub that will grow in dry to moist, acidic, loamy to clay soils.  It grows well in sun to partial shade.  In autumn, black fruits mature and feed migrating birds. Foliage hues of smokey-burgundy to pinkish-purple transform this shrub into an eye-catching display in autumn. Ranging from 3-6’ tall, this shrub mingles well with Halesia tetraptera, Cornus florida, Polystichum acrostichoides, Xanthorhiza simplicissima, Uvularia grandiflora and Symphyotrichum lateriflorum.","average, dry, moist "
Caltha palustris,Marsh Marigold,perennial ,https://mtcubacenter.org/plants/marsh-marigold/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Caltha_palustris_1.jpg,"The conspicuous bright yellow, buttercup-like flowers of marsh marigold brighten the edges of ponds, stream banks and bog gardens in early to mid-spring. Its glossy green, kidney-shaped leaves grow to 12-18” and the entire plant can die to the ground by mid-summer. Caltha palustris performs best when planted in full sun to filtered shade in wet, humus-rich soils. Associated woody plants include Acer rubrum, Betula alleghaniensis, and Fraxinus nigra. Herbaceous companions might include Symplocarpus foetidus, Arisaema triphyllum, Lobelia siphilitica, Chelone lyonii, Dryopteris celsa, Osmunda regalis, Woodwardia areolata and Thelypteris palustris.","moist, wet "
Chrysopsis mariana,Maryland Golden-Aster,perennial ,https://mtcubacenter.org/plants/maryland-golden-aster/,adaptable ,"full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Chrysopsis_mariana_1-900x700.jpg,"Maryland golden-aster is a beautiful perennial for the fall border as well as native meadow plantings. Clusters of bright yellow 1” daisy-like flowers bloom from mid-August to mid-October on tidily-clumping plants.  Maryland golden-aster grows 12-24” tall with rich green foliage.  It is very drought tolerant and is usually found in well-drained sandy soils. It is short-lived; therefore, it needs to reseed for longevity in the garden.  It needs full sun to partial shade.  Maryland golden-aster grows well in the flower border or the native meadow garden combined with Schizachyrium scoparium, Vernonia acaulis, Pityopsis graminifolia, Asclepias tuberosa, Symphyotrichum laeve var. laeve ‘Bluebird’, and Baptisia australis.","average, dry "
Podophyllum peltatum,Mayapple,perennial ,https://mtcubacenter.org/plants/mayapple/,adaptable ,"filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Podophyllum_peltatum_1.jpg,"Although very common in our rich moist woodlands, this underused deciduous ground cover is one of the first signs of spring, carpeting the ground in emerald green foliage. Concealed beneath the 8-12” tall umbrella-shaped leaves is a nodding, solitary white flower followed by a yellow, apple-like berry. Other parts of the plant are poisonous. In June, mayapple begins to go dormant and can be cut back. It forms a large mass and is best grown with ferns for textural contrast such as Phegopteris hexagonoptera, Dryopteris goldiana and Polystichum acrostichoides. Also grow it with late summer blooming Eurybia divaricata and Solidago flexicaulis which will occupy the space when mayapple goes dormant.","average, dry, moist "
Meehania cordata,Meehan’s Mint,perennial ,https://mtcubacenter.org/plants/meehans-mint/,adaptable ,"filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Meehania_cordata_1.jpg,"If you are looking for a novel groundcover, Meehan’s mint is the perfect choice. This deciduous herbaceous perennial groundcover spreads nicely in part shade and moist well-drained to average soils with foliage reaching only 1-2” tall. Beginning in late spring, it produces attractive lavender flowers with dark spots on upright stems 3-4” tall above the foliage. Meehan’s mint spreads slowly, but is perfect for the early summer garden when other plants have stopped flowering. This gem is an excellent complement planted among moss and a good companion with a wide variety of plants including Scutellaria serrata, Thalictrum clavatum, Aquilegia canadensis, Carex plantaginea, Phlox stolonifera and Chrysogonum virginianum.","average, moist "
Conoclinium coelestinum,Mistflower,perennial ,https://mtcubacenter.org/plants/mistflower/,adaptable ,"full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Conoclinium_coelestinum_1.jpg,"Mistflower is a fast spreading perennial which creates a soft drift of fuzzy blue button-like flower heads for five full weeks in fall. This plant grows best in moist, well drained soil and will spread rapidly to form large masses. Plants can grow 2-3’ tall. It grows best in full sun to part shade. The blossoms of mistflower brighten the garden from September through October producing a lovely contrast in the late season garden. There are many companions that bloom at the same time and require similar culture including Lobelia siphilitica, Solidago rugosa ‘Fireworks’ Symphyotrichum novae-angliae, Symphyotrichum laeve var. laeve ‘Bluebird’, Rudbeckia fulgida and Vernonia noveboracensis.",moist 
Actaea pachypoda ‘Misty Blue’,Misty Blue White Baneberry,perennial ,https://mtcubacenter.org/plants/misty-blue-white-baneberry/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Actaea_pachypoda_Misty_Blue_2-1.jpg,"A Mt. Cuba Center Plant Introduction. Misty Blue white baneberry provides a long season of interest with its white bottlebrush-shaped inflorescences, deeply cut compound leaves, and its clusters of white berries with brightly colored magenta pedicels in summer. This cultivar has the added benefit of bluish foliage that holds it color all season long. Misty Blue thrives in slightly acidic, moist, highly organic soil in filtered to part shade but it tolerates drier soils. Throughout the summer, this unusual native woodland plant adds interesting texture and character to the garden, particularly in shady spots. Actaea pachypoda is an excellent complement to Actaea racemosa, Phegopteris hexagonoptera, Trillium erectum, Thalictrum thalictroides, Lilium canadense, Caulophyllum thalictroides, and Carex plantaginea.","average, moist "
Silphium mohrii,Mohr’s Rosinweed,perennial ,https://mtcubacenter.org/plants/mohrs-rosinweed/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Silphium_mohrii_2.jpg,"With large basal, lance-shaped foliage, a clump-forming habit and numerous pale yellow flowers, Mohr’s rosinweed adds a bold statement to the perennial border or naturalized planting. Basal leaves are 10-15” long, gradually smaller as they ascend the stems; both leaves and stems are covered with dense, fine, bristly hairs. The 2” flowers are slightly fragrant, borne on erect, 2-5’ tall stems that branch near the top. Full sun is best but plants will tolerate light shade. Plants prefer a rocky to gravelly, well-drained soil with low fertility. Combined with Rudbeckia fulgida, Physostegia virginiana ‘Vivid’ and Eurybia hemispherica, it adds an architectural element to a meadow planting.","average, dry "
Phlox subulata,Moss Phlox,perennial ,https://mtcubacenter.org/plants/moss-phlox/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Phlox_subulata_1.jpg,"This evergreen perennial phlox is a vigorous, mat-forming groundcover, growing 3-6” tall with outstanding early spring flowers that cover the plants. Better yet, moss phlox tolerates hot and dry exposures. The fragrant, ¾” blooms are five-petaled with each petal notched at the tip. Phlox subulata blooms from early to mid-spring in colors ranging from lavender and blue-purple to pink and white. Moss phlox performs best with full sun to filtered shade in neutral to alkaline soil. Plants are best displayed at the front of the border and rock garden with companions such as Aquilegia canadensis, Viola pedata, Liatris microcephala, Silene virginica and other xeric loving plants.","average, dry "
Oenothera fruticosa,Narrowleaf Evening-Primrose,perennial ,https://mtcubacenter.org/plants/narrowleaf-evening-primrose/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Oenothera_fruticosa_1.jpg,"Narrowleaf evening-primrose is a delightful spreading herbaceous perennial up to 2’ tall and 3’ wide that brings a long season of flower color to the garden. Unlike most of its relatives, this species flowers during the day, producing bright yellow 2” diameter flowers in profusion. With its informal habit, narrowleaf evening-primrose makes an excellent companion on the border edge or meadow. It prefers well-drained soils, is pH adaptable, and performs best in full sun. Narrowleaf evening-primrose combines well with Coreopsis major, Liatris microcephala, Tradescantia hirsuticaulis, Solidago spp., Packera tomentosa, and Helianthus porteri.","average, dry "
Vernonia noveboracensis,New York Ironweed,perennial ,https://mtcubacenter.org/plants/new-york-ironweed/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Vernonia_noveboracensis_2.jpg,"New York ironweed is a robust wildflower with saturated-violet and narrow petaled flowers. Clusters of finely petaled flowers, in dense clusters, top a 5-7’ clump-forming plant. Normally found in nature in wet swales, Vernonia novaboracensis also grows well in drier sites in the garden without extra care. The intense purple flowers bloom for most of the month of September and attract many butterflies. Grow New York ironweed in full sun to filtered shade. It grows well in the flower border or native meadow garden with Andropogon virginicus, Helianthus angustifolius, Conoclinium coelestinum, Symphyotrichum novae-angliae, Liatris spicata, and Helianthus microcephalus.","average, dry, moist "
Allium cernuum,Nodding Onion,bulbcorm ,https://mtcubacenter.org/plants/nodding-onion/,adaptable ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Allium_cernuum_1.jpg,"Nodding onion is a beautiful and carefree native bulb for the garden. Clusters of pink flowers are borne in loose heads on 1’ tall stems above grass-like leaves. Nodding onion grows well in a perennial border, open woods, or meadow in light shade to full sun. This versatile plant competes well in the garden among other companions such as Eragrostis spectabilis, Schizachyrium scoparium, Stokesia laevis, Symphyotrichum spp., and Solidago spp. In the open woodland garden it combines nicely with Heuchera americana and Thelypteris noveboracensis.","average, dry, moist "
Trillium flexipes,Nodding Trillium,perennial ,https://mtcubacenter.org/plants/nodding-trillium/,"acidic, adaptable ","filtered-shade, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Trillium_flexipes_1.jpg,"Nodding trillium is a delightful addition to the woodland garden with its appealing white, three-petaled blossoms held above robust foliage on gently curving flower stalks. This fleeting spring perennial is at home in moist and well drained, neutral to slightly acidic soils in shade to partial shade. Nodding trillium can grow to 20? tall, developing robust, multi-stemmed, many-flowered clumps. It is particularly effective in naturalized woodland masses. Nodding trillium partners texturally well when naturalized with Thalictrum thalictroides, Delphinium tricorne, Phlox stolonifera, Phlox divaricata, Osmundastrum cinnamomeum, Stylophorum diphyllum, and Mertensia virginica.","average, moist "
Bigelowia nuttallii,Nuttall’s Rayless-Goldenrod,perennial ,https://mtcubacenter.org/plants/nuttalls-rayless-goldenrod/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Bigelowia_nuttallii_1.jpg,"The adorable and virtually unknown Nuttall’s rayless-goldenrod is very much at home in any rock garden. From mid-summer through autumn, soft clusters of bright yellow flowers float over small tufts of soft green, thread-like foliage. This tough evergreen plant is well adapted to sunny, dry, and exposed areas. It slowly forms dense crowns creating a sea of yellow at a time of year when few other plants are flowering. Though quite showy, Nuttall’s rayless-goldenrod only grows only 10-15” tall. This plant is striking when combined with Liatris microcephala, Schizachyrium scoparium, Euphorbia corollata, Silene virginica, Ionactis linariifolius, and Coreopsis pulchra.",dry 
Hydrangea quercifolia,Oakleaf Hydrangea,shrub ,https://mtcubacenter.org/plants/oakleaf-hydrangea/,adaptable ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_quercifolia_2.jpg,"Oakleaf hydrangea is one of the most useful native shrubs for the garden. With its unique deeply lobed, oak-like leaves, large white flower clusters, and attractive exfoliating bark, oakleaf hydrangea is impressive when massed or used as a specimen. Its mature size ranges from 6-10’ tall with a similar spread. The 8-12” wide leaves turn red to deep purple in autumn and the flowering bracts persist throughout the season. It excels in regular garden soil in part shade to full sun and is drought-tolerant once established. Hydrangea quercifolia grows well with a variety of other companions including Heuchera villosa, Pachysandra procumbens, Itea virginica, Fothergilla major and Rhododendron flammeum.","average, dry "
Physostegia virginiana,Obedient-Plant,perennial ,https://mtcubacenter.org/plants/obedient-plant/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Physostegia_virginiana_1.jpg,"Beautiful upright spikes of snapdragon-like flowers are borne abundantly atop this robust herbaceous perennial plant in summer. Easy to grow, the obedient plant is best suited for full sun to partial shade in moist to dry soils. Plants perform well in less fertile soils. Lavender to white tubular blooms on square stems are ‘obedient’, when moved, remaining in any new position as if wired in place. Obedient plant spreads both by prolific seeds and rhizomatous growth. Any border or naturalized area will be brightened when obedient plant is planted alongside Solidago spp., Symphyotrichum patens, Ionactis linariifolius, Monarda didyma, Schizachyrium scoparium, and Echinacea purpurea.","average, dry, moist "
Phlox pilosa ssp. ozarkana,Ozark Phlox,perennial ,https://mtcubacenter.org/plants/ozark-phlox/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Phlox_pilosa_ssp_ozarkana_1.jpg,"Ozark phlox is a beautiful spring phlox worthy of wider garden use. Its attractive pink to magenta flowers appear from late spring to early summer on 12-20” tall stems. The fragrant flowers of Ozark phlox are a valuable butterfly nectar source. It grows well in half to a full day of sun and spreads slowly underground among other garden plants to form an attractive mass. Cutting back the flower stems after bloom makes for the best appearance. Ozark Phlox could be used in a rock garden, in the front of a perennial border, or in a native meadow planting. It grows well with Schizachyrium scoparium, Andropogon virginicus, Packera anonyma, Penstemon digitalis, Baptisia alba, and Rudbeckia hirta.","average, dry, moist "
Cornus alternifolia,Pagoda Tree,tree ,https://mtcubacenter.org/plants/pagoda-tree/,"acidic, adaptable ","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Cornus_alternifolia_1-598x700.jpg,"With its unusual tiered branching structure, this underused member of the dogwood family will surely capture attention as a specimen tree in your landscape. Cornus alternifolia is a small, deciduous tree that will reach a height of 15-30’ with an irregular, open habit. In late spring, small fragrant flowers are borne in flat-topped clusters, followed by berries that turn from green to blue-black as summer progresses. Interesting coral fruit stalks persist after the berries are gone. This tree grows best in a partly sunny location and prefers acidic soil that is cool and moist. Some excellent companions include Rhododendron prinophyllum, Leucothoe axillaris, Symphyotrichum cordifolium, and Solidago caesia.","average, dry, moist "
Mitchella repens,Partridgeberry,perennial ,https://mtcubacenter.org/plants/partridgeberry/,acidic ,"partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Mitchella_repens_2.jpg,"Mitchella repens, with its evergreen leaves, bright red berries and spreading habit, is an excellent small groundcover for a variety of shady garden conditions.  It features ½” wide, dark green leaves with a white mid-vein, arranged oppositely along the stem that spreads just over the surface of the soil. In spring diminutive, white, cross-shaped flowers are borne in pairs. The flowers are followed by bright red berries that persist well into the following spring if not eaten by ground-foraging birds, hence the common name.  Patridgeberry thrives on exposed, acid soils high in organic matter and is drought-tolerant once established.  It grows well with Clintonia umbellulata, Gaultheria procumbens and Hexastylis minor.","average, dry "
Hydrangea quercifolia ‘Pee Wee’,Pee Wee Oakleaf Hydrangea,shrub ,https://mtcubacenter.org/plants/pee-wee-oakleaf-hydrangea/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Hydrangea_quercifolia_Pee_Wee_1.jpg,"Pee Wee oakleaf hydrangea is an outstanding summer-blooming deciduous shrub for a partly shady to sunny garden. This charming diminutive cultivar fills a much needed multi-season role in smaller gardens, growing to a manageable 5? tall with attractive displays of small, white, cone-shaped panicles of flowers. In addition to summer flowering appeal, it also produces a pleasing combination of yellow, orange, red, and purple-colored foliage in November. In winter, the coarse branching structure and cinnamon-colored exfoliating bark of this cultivar provides lasting character. It combines well with Leucothoe fontanesiana, Geum fragarioides, Pachysandra procumbens, Geranium maculatum, and Carex laxiculmis ‘Hobb’.","average, dry "
Acer pensylvanicum,Pennsylvania Striped Maple,tree ,https://mtcubacenter.org/plants/pennsylvania-striped-maple/,"acidic, adaptable ","filtered-shade, partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Acer_pensylvancum_2-960x683.jpg,"Maturing to a height of 15-25’ with an irregular vase-shaped habit, this slow growing, coarsely branched maple is an understory tree ideal for use in the naturalized landscape. Shady, slightly acidic, and well-drained conditions are optimal for Pennsylvania striped maple. As branches mature, its green bark is highlighted by thin white lines providing year round interest. In autumn the leaves of Acer pensylvanicum can turn bright yellow, contrasting nicely with the green stems. Some of the shade-loving companions that grow well with Pennsylvania striped maple include Polygonatum biflorum, Eurybia divaricata, Trillium cuneatum, Phlox divaricata, and Asarum canadense.","average, moist "
Rhododendron canescens,Piedmont Azalea,shrub ,https://mtcubacenter.org/plants/piedmont-azalea/,acidic ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Rhododendron_canescens_1.jpg,"Piedmont azalea is among the most versatile native deciduous azaleas for the woodland garden or mixed border. In spring, it produces a spectacular showcase of floral beauty with masses of fragrant, pale to dark pink, honeysuckle-like flowers that cover the plant before leaves emerge. Piedmont azalea is a multi-stemmed upright spreading shrub 6-10’ tall that tolerates part shade to sun and well-drained, moist to very dry acidic soils. When planted in masses or used as a specimen, it blends well with Cornus florida, Viburnum acerifolium, Callicarpa americana, Hydrangea quercifolia, Oxydendrum arboreum, Polystichum acrostichoides, Kalmia latifolia, Hexastylis arifolia, and Uvularia sessilifolia.","average, dry, moist "
Kalmia latifolia ‘Pink Charm’,Pink Charm Mountain Laurel,shrub ,https://mtcubacenter.org/plants/pink-charm-mountain-laurel/,acidic ,"filtered-shade, full-sun, partial-shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Kalmia_latifolia_Pink_Charm_1.jpg,"Kalmia latifolia ‘Pink Charm’ is an attractive broadleaved evergreen flowering shrub that grows well in acidic, well-drained soils and part shade to full sun. Plants typically reach 5-8’ tall and wide with attractive glossy green foliage. The large 4-8” clusters of angular flowers borne on branch tips are interesting from the time they develop deep pink buds until they open with a clear medium pink color, peaking from late May to early June. Pink Charm mountain laurel makes a fine garden companion for Rhododendron canescens, Euonymus americana, Dicentra eximia, Hexastylis shuttleworthii, Polystichum acrostichoides, Gillenia trifoliata, and Leucothoe axillaris.","average, dry "
Thalictrum thalictroides ‘Pink Pearl’,Pink Pearl Rue Anemone,perennial ,https://mtcubacenter.org/plants/pink-pearl-rue-anemone/,"acidic, adaptable ","partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Thalictrum_thalictroides_Pink_Pearl.jpg,"A Mt. Cuba Center Plant Introduction. Pink Pearl rue anemone is an attractive lavender-pink selection of the typically white flowered rue anemone. Numerous 1?, upward facing flowers comprised of petal-like sepals are highly attractivein April just as the earliest blooming spring wildflowers emerge. ‘Pink Pearl’ produces its flowers atop 4? to 10? tall stems, with delicate, slightly lobed foliage, reminiscent of maindenhair fern. The wiry stems rise from a cluster of tuberous roots that look like miniature dahlia tubers. ‘Pink Pearl’ should be planted in part sun to full shade in moist but well-drained soil that ranges from slightly acidic to neutral. It typically goes dormant by early summer.","average, moist "
Gillenia trifoliata ‘Pink Profusion’,Pink Profusion Bowman’s Root,perennial ,https://mtcubacenter.org/plants/pink-profusion-bowmans-root/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Gillenia_trifoliata_Pink_Profusion_1.jpg,"A Mt. Cuba Center Plant Introduction. Imagine delicate wands of small pink flowers floating in the late spring breeze and you can understand the informal, ethereal quality that Bowman’s root brings to the garden. This herbaceous perennial grows 2-3’ tall with an upright spreading habit. Green foliage emerges with tinges of red and accentuate the panicles of 1” wide, star-like blooms. This cultivar differes from the straight species with its pink flowers. Gillenia trifoliata ‘Pink Profusion’ thrives in fertile, evenly-moist soil and grows equally well in part shade or full sun, although it prefers a little shade in the hottest part of the day. This is a wonderful plant to use in mass plantings or in the border with other natives such as Penstemon smallii, Penstemon calycosus, Sisyrinchium angustifolium, Lilium canadense, and Silene virginica.
‘Pink Profusion’ was found in the wild by Paul James of Viriginia and sent to Mt. Cuba Center in 1987 and introduced in 1997.","average, moist "
Carex plantaginea,Plantain-Leaf Sedge,grasssedge ,https://mtcubacenter.org/plants/plantain-leaf-sedge/,adaptable ,"partial-shade, shade ",https://mtcubacenter.org/wp-content/uploads/2016/06/Carex_plantaginea_1.jpg,"The bold foliage of Carex plantaginea makes it a welcome textural surprise in the woodland garden. Plantain-leaf sedge grows 6-12” tall in part to full shade given moist to average soil. However, it will tolerate that dry, difficult spot in your garden. The almost evergreen foliage of this delightful sedge is bright green with a wrinkled look and purple-brown subtle flowers in May. Plantain-leaf sedge is a clump forming perennial that grows quickly to form an attractive mass which can be divided regularly. This grass-like, tufted groundcover is striking when used as an edger, accent or massed with shade garden staples such as Phlox stolonifera, Tiarella cordifolia, Trillium stamineum, Heuchera americana, and Fothergilla gardenii.","average, dry, moist "
Symphyotrichum turbinellum,Prairie Aster,perennial ,https://mtcubacenter.org/plants/prairie-aster/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_turbinellum_1.jpg,"Prairie aster is an underused yet very attractive aster for early to mid-autumn with its stunning flowers, disease resistant foliage and vigorous growth. This clump forming aster produces abundant, pale violet-blue flowers with yellow centers. They are displayed on stiff, wiry stems giving the plant an open and billowy, cloud-like appearance. This perennial, with pale blue-green foliage and a 3? tall, shrub-like form is drought tolerant and prefers sunny conditions. Prairie aster makes a fine addition to borders or meadow landscapes and combines nicely with Rudbeckia triloba, Solidago rugosa ‘Fireworks’, Euthamia caroliniana, and Schizachyrium scoparium.","average, dry "
Sporobolus heterolepis,Prairie Dropseed,grasssedge ,https://mtcubacenter.org/plants/prairie-dropseed/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Sporobolus_heterolepis_1-900x700.jpg,"Prairie dropseed is a long-lived, drought tolerant perennial that is ideal as a ground-cover or accent plant for hot and dry sites. The attractive mound of hair-like foliage is medium green, up to 3’ wide and 1½’ tall.  In late summer, numerous 2-3’ tall  spikes emerge from the clump and terminate in an airy, tan colored inflorescence. Plants should be sited in well-drained, rocky to gravelly, soil of low fertility in full sun. Take advantage of its fall color that ranges from yellow to golden orange and plant it with Schizachyrium scoparium, Liatris pilosa, Euthamia caroliniana, Pycnanthemum tenuifolium, Chrysopsis mariana, and Asclepias tuberosa.","average, dry, moist "
Eurybia hemispherica,Prairie Wood Aster,perennial ,https://mtcubacenter.org/plants/prairie-wood-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Eurybia_hemispherica_1.jpg,"Prairie wood aster has a strong presence in the summer garden with its showy masses of 1½” diameter violet-blue flowers with yellow centers, displayed on 2? tall wiry stems. It is suitable for the perennial border or in a meadow garden. The narrow 4½” long leaves of this aster are stiff, pointed and rough to the touch. Prairie wood aster grows well in full sun and dry to average, well drained soils. Plants tend to flop when sited in shade, a characteristic that could be used to advantage for a cascading effect on a sloping site with filtered shade. Some companions include Schizachyrium scoparium, Asclepias tuberosa, Rudbeckia fulgida, Euthamia caroliniana.","average, dry "
Opuntia humifusa,Prickly Pear,perennial ,https://mtcubacenter.org/plants/prickly-pear/,adaptable ,full-sun ,https://mtcubacenter.org/wp-content/uploads/2016/06/Opuntia_humifusa_1.jpg,"This summer-blooming beauty is one of the few cacti native to the Piedmont. The 3-4” wide, eye-catching yellow flowers burst into color in late June. The unique flattened pads of this cactus form a sprawling evergreen groundcover 4-8” tall and are covered with barbed spines. Prickly-pear is quite adaptable and makes a great addition to rock gardens or dry, well-drained soils in sunny locations. For added interest, consider combining it with plants such as Liatris microcephala, Ruellia humilis, Bigelowia nuttallii, Symphyotrichum ericoides, Coreopsis grandiflora, Coreopsis verticillata, Rhus copallinum, or Callicarpa americana.","average, dry "
Symphyotrichum novae-angliae ‘Purple Dome’,Purple Dome New England Aster,perennial ,https://mtcubacenter.org/plants/purple-dome-new-england-aster/,adaptable ,"filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2016/06/Symphyotrichum_nova-angliae_Purple_Dome_1.jpg,"A Mt. Cuba Center Plant Introduction. Purple Dome New England aster is a refined plant for the garden border with its symmetrical, compact mounded form reaching only 2’ tall. In early autumn, it is covered with dense clusters of purple, daisy-like, semi-double flowers. While this aster can have late season foliar problems, it’s dense floral displays and short stature make up for this shortcoming. Purple Dome New England aster grows in sun to filtered shade and performs best in moist, well-drained soil, though it is tolerant of short dry periods. It combines well with Solidago caesia, Solidago rugosa ‘Fireworks’, Rudbeckia fulgida, and Coreopsis grandiflora,  
‘Purple Dome’ was first observed along Pennsylvania Route 100 below Allentown, PA by Robert G. Seip of Lennilea Farm and given to Mt. Cuba Center who introduced it in 1989.","average, moist "
Iris versicolor ‘Purple Flame’,Purple Flame Blue Flag,perennial ,https://mtcubacenter.org/plants/purple-flame-blue-flag/,"acidic, adaptable ","filtered-shade, full-sun ",https://mtcubacenter.org/wp-content/uploads/2021/03/052417_1623-960x700.jpg,"Iris versicolor ‘Purple Flame’ is a Mt. Cuba Center Introduction and part of the Mt. Cuba Collection™. Commonly referred to as Purple Flame blue flag, this native plant thrived in the gardens at Mt Cuba Center for decades before it was introduced in 2020. Its most outstanding ornamental feature is the striking eggplant-purple new foliage that emerges from the ground in early spring.  As the weather warms, the bold purple leaves start to fade, eventually turning back to tones of green more typical of Iris versicolor. In late spring to early summer, dark stems produce dark purple flowers that attract butterflies and hummingbirds. This adaptable perennial is at home in typical garden conditions but tolerates saturated substrates and will even thrive when the crown is planted below water level. Iris versicolor ‘Purple Flame’ creates a superb specimen and is also effective when planted en masse. Great garden companions include Asclepias incarnata, Lobelia cardinalis, Packera aurea, Caltha palustris, and Clethra alnifolia.","average, moist-to-wet "
